,のりば,備考,接近情報,発時刻,行き先,行先番号,運行状況,delay_time,collect_time,departure_place,arrival_place
0, ,"
",1つ前を発車(約5分遅れ),21:32,岐南町三宅,E16,"
運行状況
",5,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
1, ,"
",1つ前を発車(約2分遅れ),21:35,JR岐阜,N,"
運行状況
",2,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
2, ,"
",3つ前を発車(約2分遅れ),21:37,JR岐阜,左まわり,"
運行状況
",2,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
3, ,"
",約5分遅れで運行中,21:37,下佐波,E70,"
運行状況
",5,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
4, ,"
",2つ前を発車,21:38,墨俣,W65,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
5, ,"
",ほぼ定刻で運行中,21:45,西鏡島,G51,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
6, ,"
",ほぼ定刻で運行中,21:47,岐南営業所,E15,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
7, ,"
",約3分遅れで運行中,21:54,JR岐阜,右まわり,"
運行状況
",3,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
8, ,"
",ほぼ定刻で運行中,21:55,JR岐阜,N,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
9, ,"
",始発発車前,21:57,JR岐阜,左まわり,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
10, ,"
",始発発車前,22:02,岐南町三宅,E16,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
11, ,"
",始発発車前,22:02,下佐波,E70,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
12, ,"
",始発発車前,22:05,西鏡島,G51,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,ＪＲ岐阜
13, ,"
",1つ前を発車(約5分遅れ),21:32,岐南町三宅,E16,"
運行状況
",5,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
14, ,"
",1つ前を発車(約2分遅れ),21:35,JR岐阜,N,"
運行状況
",2,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
15, ,"
",約5分遅れで運行中,21:37,下佐波,E70,"
運行状況
",5,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
16, ,"
",2つ前を発車,21:38,墨俣,W65,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
17, ,"
",ほぼ定刻で運行中,21:45,西鏡島,G51,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
18, ,"
",ほぼ定刻で運行中,21:47,岐南営業所,E15,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
19, ,"
",約3分遅れで運行中,21:54,JR岐阜,右まわり,"
運行状況
",3,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
20, ,"
",ほぼ定刻で運行中,21:55,JR岐阜,N,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
21, ,"
",ほぼ定刻で運行中,22:02,岐南町三宅,E16,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
22, ,"
",始発発車前,22:02,下佐波,E70,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
23, ,"
",始発発車前,22:05,西鏡島,G51,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
24, ,"
",始発発車前,22:08,墨俣,W65,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
25, ,"
",始発発車前,22:14,JR岐阜,右まわり,"
運行状況
",0,2019-09-13 21:37:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
26, ,"
",発車済,21:45,西鏡島,G51,"
運行状況
",0,2019-09-13 21:47:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
27, ,"
",発車済,21:47,岐南営業所,E15,"
運行状況
",0,2019-09-13 21:47:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
28, ,"
",約4分遅れで運行中,21:54,JR岐阜,右まわり,"
運行状況
",4,2019-09-13 21:47:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
29, ,"
",ほぼ定刻で運行中,21:55,JR岐阜,N,"
運行状況
",0,2019-09-13 21:47:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
30, ,"
",ほぼ定刻で運行中,22:02,岐南町三宅,E16,"
運行状況
",0,2019-09-13 21:47:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
31, ,"
",ほぼ定刻で運行中,22:02,下佐波,E70,"
運行状況
",0,2019-09-13 21:47:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
32, ,"
",ほぼ定刻で運行中,22:05,西鏡島,G51,"
運行状況
",0,2019-09-13 21:47:00,メディアコスモス・鶯谷高校口,名鉄岐阜（神田町通り）
